Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
30.0,30.0,0.0,0.0,6.0,10.0,0.12,0.0,2.566208171,1.94767,0.0,6.57182,0.0,0.39433,0.594484,71.33808,0.0,0.0599691,0.864
30.0,30.0,0.0,0.0,6.0,20.0,0.12,0.0,2.566208171,1.94767,0.0,6.38097,0.0,0.327062,0.613968,73.67616,0.0,0.0550232,0.688
30.0,30.0,0.0,0.0,6.0,1.0,0.12,0.0,2.566208171,1.94767,0.0,7.07281,0.0,0.385052,0.5769484,69.233808,0.0,0.051932,0.848
28.0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,17.91,7.79826,34.9245,0.0,0.740203831,44.41222984,16.85,0.0,13.18
28.0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,1.96,18.23,7.89913,35.7308,0.0,0.780682643,46.84095861,19.35,0.0,11.36
30.0,30.0,40.0,20.0,4.0,0.0,0.06,53.59,0.0,1.1,32.46,0.0,35.52,0.0,0.0,0.0,12.01,0.0,23.17
30.0,30.0,40.0,20.0,4.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.24,0.0,14.5
30.0,30.0,40.0,20.0,4.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,0.0,12.31
30.0,30.0,40.0,20.0,4.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.04,0.0,20.84
26.0,0.0,0.0,0.0,7.0,0.0,1.2,65.0,0.0,1.69,22.46153846,7.56,37.96,1.1056,0.375,450.0,157.5,0.0734144,26.82
26.0,0.0,0.0,0.0,7.0,15.67944251,1.2,65.0,0.0,1.51,24.96688742,8.03,37.7,0.853448,0.39375,472.5,165.375,0.0488499,21.65
26.0,0.0,0.0,0.0,7.0,31.35888502,1.2,65.0,0.0,1.41,26.4822695,8.17,37.34,0.943966,0.4125,495.0,173.25,0.0406628,7.31
26.0,0.0,0.0,0.0,7.0,6.414309273643399,1.2,65.0,0.0,1.35,29.88888889,8.33,40.35,0.931034,0.43125,517.5,181.125,0.0365692,5.47
35.0,35.0,30.0,30.0,2.0,0.0,0.06,67.6,0.38,2.22446,17.43119678,7.779,38.775,1.0453,0.0,0.0,0.0,0.0,29.26
35.0,35.0,30.0,30.0,2.0,0.408,0.06,0.0,0.38,2.06768,14.83745067,6.76537,30.6791,2.19512,0.0,0.0,0.0,0.0,16.11
35.0,35.0,30.0,30.0,2.0,0.408,0.06,0.0,0.38,2.16937,16.20428972,8.01878,35.1531,1.32753,0.0,0.0,0.0,0.0,30.93
35.0,35.0,30.0,30.0,2.0,0.408,0.06,0.0,0.38,2.27531,13.97506274,7.24492,31.7976,2.63415,0.0,0.0,0.0,0.0,16.12
28.0,28.0,0.0,0.0,5.0,0.0,0.06,57.5409262,0.48,2.13,19.25,7.08396,38.5,3.00554,0.532666667,31.96,13.56992,0.0,24.95
28.0,28.0,0.0,0.0,5.0,2.449875,0.06,0.0,0.48,2.14833,0.0,6.59564,0.0,3.03044,0.538207435,32.29244608,0.0,0.0,11.23
28.0,28.0,0.0,0.0,5.0,2.45195,0.06,0.0,0.48,2.15,0.0,6.76549,0.0,3.11347,0.538212128,32.29272765,0.0,0.0,22.85
28.0,28.0,0.0,0.0,5.0,4.3543475,0.06,0.0,0.48,2.16833,0.0,8.34723,0.0,1.2869,0.542514691,32.55088147,0.0,0.0,26.71
34.0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.272108844,0.0,11.37,0.0,0.0,0.0,0.583333333,35.0,12.25,0.0,31.52
34.0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.262907095,0.0,11.37,0.0,0.0,0.0,0.60375,36.225,12.67875,0.0,21.26
