Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,6.0,0.0,Trough,None,50.442537710141295,0.4185450775932085,0.0,LB Culture,7.57455288300123,Soil,0.0,28.31537337355322,0.0,0.0,MgSO₄,None,0.314,27.32884658064516,Straw,Green waste,33.0,1.4280600332415827,40.43605304108424,94.21941200000003,5.836266816397009,0.7274629473686218,0.1931228462338173,24.98920197011448
None,7.0,1068.0,Trough,Intermittent ,70.1826668652331,5.883246894340831,3.977828445643949,Zeolite,10.499533773819904,Soil,0.6592391122728825,23.013821530098213,0.0,45.0,Zeolite,None,0.314,27.32884658064516,Straw,Green waste,113.0,1.4280600332415827,32.86511873928791,92.59242666666664,7.668016753636292,1.0868849754333496,0.1533321463112027,26.11928612081448
None,5.0,1376.0,Trough,Intermittent ,82.44597577089091,4.475348475346047,3.505015367244112,MgSO₄,4.626779589759216,Plastic tube pieces,6.602098629757887,20.915694416990497,0.0,13.0,Ca-superphosphate,None,0.314,27.32884658064516,Straw,Green waste,13.0,1.4280600332415827,29.86886726439824,95.05041900000003,9.079773591096714,1.3127416372299194,0.1817874891498794,24.270809848939244
None,9.0,0.0,Trough,None,77.68957691871705,4.039294437199431,0.0,Sodium salt,9.736249767039617,None,0.0,21.41797691389453,0.0,0.0,Gypsum,None,0.314,27.547494056189077,Mature compost,Green waste,19.0,1.4280600332415827,30.586156823623675,94.09108100000002,10.083052479673269,0.9341820478439332,0.1538044485635602,25.576948723222287
None,5.0,0.0,Trough,Continuous,75.81588394673881,7.383402428505268,1.8230152881515505,Sulfur,6.049166660805764,Plastic tube pieces,20.01212260140474,26.710343482429074,0.0,4.0,MgSO₄,None,0.314,27.32884658064516,Poultry manure,Green waste,13.0,1.4280600332415827,38.14397400141176,92.727791,5.317196355015832,0.858181893825531,0.2007424946107461,24.78196196268339
None,2.0,0.0,Trough,None,71.80980541240784,3.754183065157946,0.0,Sodium salt,5.968266975814911,Green waste,0.0,30.52888692514937,0.0,0.0,Organic acid,None,0.314,27.32884658064516,None,Green waste,52.0,1.4280600332415827,43.59708327715733,95.07699600000004,8.363600324742874,0.6603646874427795,0.1629410082522137,16.59370551720174
None,8.0,0.0,Windrow,Continuous,77.00454151828,6.425084505769542,0.5732554873245077,Organic acid,10.614969467061773,Soil,33.11343332546941,39.33345542682274,0.0,52.0,Potassium phosphate,None,0.314,27.32884658064516,Poultry manure,Green waste,54.0,1.4280600332415827,56.17053566433479,92.82183499999998,9.220351176918152,0.8318153619766235,0.1741665017745402,26.337860753422955
None,0.0,0.0,Windrow,None,53.531115739869925,5.433097737405911,0.0,Sodium phosphates,8.317285613030492,Woody peat,0.0,18.85554062308429,0.0,0.0,Microbiological agent,None,0.314,27.328846580645163,Byproduct,Green waste,28.0,1.4280600332415827,27.12513127789993,95.77242300000005,6.645114231943071,1.307382345199585,0.1139467117580106,1000000.0
None,8.0,0.0,Reactor,None,56.983832405642346,2.600823329784726,0.0,Phosphogypsum,11.012642291107932,Green Waste,0.0,13.128111008542216,1.0,0.0,Ca-superphosphate,None,0.314,27.32884658064516,Straw,Green waste,23.0,1.4280600332415827,18.747730643257984,94.68187500000002,10.255517340564422,0.6915308833122253,0.1840929978681526,27.312846069757708
None,24.0,1160.0,Reactor,Intermittent ,71.28900943730082,9.659773845587852,7.903777788879914,Inorganic acid,5.534977053860683,Byproduct,49.89463259895817,19.99541972026838,1.0,14.0,Biochar,None,0.314,27.32884658064516,Straw,Green waste,46.0,1.4280600332415827,28.761578108044773,91.890349,11.619564791743825,0.8996765613555908,0.185861699005925,1000000.0
