M1_is Enclosed,Material_2, Composting Method,Additive Species,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),TN loss (%)
1.0,26,0,1,10,56.0,56.0,0,0.0,0.0,11.0,10.0,0.1,55.0,2,0.79,13,25.44,28.42
1.0,1,0,3,4,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,53.59,28,0.79,13,32.46,31.94
1.0,1,0,3,4,30.0,30.0,1,40.0,20.0,4.0,0.0,0.06,58.78,28,1.02,13,23.95,24.55
1.0,1,0,0,4,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,34,0.78,13,23.95,22.86
1.0,1,0,0,4,30.0,30.0,1,40.0,20.0,4.0,12.5,0.06,58.67,23,0.78,13,23.95,32.13
1.0,1,0,3,11,35.0,35.0,1,30.0,30.0,2.0,0.0,0.06,67.6,28,0.38,13,17.43,32.01
1.0,1,0,1,11,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,65.79,31,0.38,13,14.84,20.32
1.0,1,0,1,11,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,67.3,6,0.38,13,16.2,33.29
1.0,1,0,1,11,35.0,35.0,1,30.0,30.0,2.0,0.41,0.06,66.1,31,0.38,2,13.98,19.58
1.0,1,0,3,11,28.0,28.0,0,0.0,0.0,5.0,0.0,0.06,57.54,28,0.48,13,19.25,31.5
1.0,1,0,1,11,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,13,0.48,13,18.57,15.82
1.0,1,0,1,11,28.0,28.0,0,0.0,0.0,5.0,2.45,0.06,59.41,12,0.48,13,18.57,27.47
1.0,1,0,1,11,28.0,28.0,0,0.0,0.0,5.0,4.35,0.06,60.3,15,0.48,13,18.97,32.42
0.75,7,0,3,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,28,0.49,13,20.51,23.4
0.75,7,0,1,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,37,0.49,13,20.51,13.05
0.75,7,0,2,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,37,0.49,13,20.51,6.82
0.75,7,0,0,8,42.74,22.55,1,2.36,13.4,5.45,5.25,1.45,64.48,23,0.49,13,20.51,16.78
1.0,26,0,3,8,42.0,42.0,0,0.0,0.0,2.0,0.0,0.17,53.8,28,0.07,13,16.6,48.7
1.0,26,0,4,8,42.0,42.0,0,0.0,0.0,2.0,10.8,0.17,49.3,3,0.07,13,18.6,41.9
1.0,26,0,4,8,42.0,42.0,0,0.0,0.0,2.0,21.6,0.17,50.2,3,0.07,13,20.4,38.3
1.0,1,0,3,10,34.0,34.0,0,0.0,0.0,6.0,0.0,0.06,65.0,28,0.27,13,11.37,37.08
1.0,1,0,1,10,34.0,34.0,0,0.0,0.0,6.0,10.0,0.06,65.0,38,0.26,13,11.37,28.22
