Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),TN loss (%)
8,6,3,3,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,6.0,0.13,55.0,1.11,23.99,3.16
8,6,3,3,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,8.0,0.13,55.0,1.11,22.32,2.44
8,6,3,3,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,12.0,0.13,55.0,1.11,21.14,2.21
8,6,3,3,13,2,1,0,1.0,56.0,1,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.11,20.4,2.08
4,1,3,29,13,2,1,1,0.0,69.0,2,0.0,0.0,0.0,37.0,0.0,0.08,80.7,0.0,20.38,24.05
4,1,3,3,13,2,1,1,0.0,69.0,2,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,22.77,17.24
4,1,3,43,13,2,1,1,0.0,69.0,2,0.0,0.0,0.0,37.0,4.0,0.08,80.7,0.0,19.47,11.64
4,1,3,43,1,2,1,1,0.0,69.0,2,0.0,0.0,0.0,37.0,3.0,0.08,80.7,0.0,22.13,18.1
9,6,3,29,13,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,0.0,0.06,69.2,0.3,18.4,37.5
9,6,3,14,8,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,18.8
9,6,3,15,10,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,20.8
9,6,3,5,10,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,17.6
9,6,3,14,10,2,1,0,1.0,35.0,0,35.0,0.0,0.0,4.0,1.68,0.06,69.2,0.3,18.4,9.8
9,5,3,24,13,2,1,2,0.0,82.0,2,0.0,0.0,0.0,15.0,1.38,5.46,63.7,0.0,15.4,30.73
9,5,3,3,11,2,1,2,0.0,82.0,2,0.0,0.0,0.0,15.0,9.64,5.46,63.7,0.0,17.51,20.73
9,2,3,24,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,32.19
9,2,3,24,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,20.8
9,2,3,24,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.65
9,2,3,24,13,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,7.66
9,2,3,40,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,20.8
9,2,3,40,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.82
9,2,3,40,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,10.57
9,2,3,40,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,9.8
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,33.01
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,28.94
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,21.28
9,2,3,47,11,2,1,0,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,17.39
9,5,3,29,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,34.15
9,5,3,3,13,2,1,1,0.75,42.74,2,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,29.07
0,0,1,29,13,2,1,1,0.0,50.0,2,0.0,0.0,0.0,9.0,0.0,0.06,60.6,0.0,22.5,15.0
0,0,1,12,13,2,1,1,0.0,50.0,2,0.0,0.0,0.0,9.0,25.49,0.06,60.1,0.0,23.4,10.8
9,7,3,29,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,17.91,20.29
9,7,3,40,13,2,1,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,18.23,13.03
8,6,3,47,13,2,1,0,1.0,56.0,0,56.0,0.0,0.0,11.0,10.0,0.1,55.0,0.79,25.18,28.8
8,6,3,20,13,2,1,0,1.0,56.0,0,56.0,0.0,0.0,11.0,10.0,0.1,55.0,0.79,25.67,28.3
8,6,3,2,13,2,1,0,1.0,56.0,0,56.0,0.0,0.0,11.0,10.0,0.1,55.0,0.79,25.44,28.42
3,6,3,29,13,2,1,0,1.0,30.0,1,30.0,40.0,20.0,4.0,0.0,0.06,53.59,0.79,32.46,31.94
3,6,2,29,13,2,1,0,1.0,30.0,1,30.0,40.0,20.0,4.0,0.0,0.06,58.78,1.02,23.95,24.55
3,6,3,35,13,2,1,0,1.0,30.0,1,30.0,40.0,20.0,4.0,12.5,0.06,58.67,0.78,23.95,22.86
3,6,3,24,13,2,1,0,1.0,30.0,1,30.0,40.0,20.0,4.0,12.5,0.06,58.67,0.78,23.95,32.13
9,6,3,29,13,2,1,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.0,0.06,67.6,0.38,17.43,32.01
9,6,3,32,13,2,1,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,65.79,0.38,14.84,20.32
9,6,3,6,13,2,1,0,1.0,35.0,1,35.0,30.0,30.0,2.0,0.41,0.06,67.3,0.38,16.2,33.29
