Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
22.0,None,51.0,0,None,0.6277154746460176,52.190019638119246,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,29.0,Sand,7.0,Microbiological agent,0.0,1.0,6.591902017968858,2.0952942734506244,60.763533930068114,105.20399600000002,8.123568617030536,1.1655399799346924,0.21217213510156305,1000000.0
4.0,None,49.0,0,Soil,0.6277154746460176,57.00000000000001,None,Mature compost,Trough,27.32884658064516,None,Swine manure,0.0,0,18.99206959799547,Lime,8.0,None,0.0,1.0,6.424924461340549,2.0952942734506244,39.7939746696556,107.957889,8.123568617030536,1.153998851776123,0.1771736576629897,23.160310436684085
9.0,None,90.0,0,Plastic tube pieces,0.6277154746460176,54.0,None,Mature compost,Trough,27.32884658064516,None,Swine manure,0.0,0,29.36866770604443,Sodium salt,7.0,Inorganic acid,0.0,1.0,6.670268208316233,2.0952942734506244,61.53600126334918,106.81338300000004,8.123568617030536,1.1540721654891968,0.192423514456846,23.40032623696105
6.0,None,94.0,0,Woody peat,0.6277154746460176,63.95394126284775,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,25.284916172590872,Sodium phosphates,7.557817504473553,Gypsum,0.0,1.0,6.416161136925213,2.0952942734506244,52.97934006110872,105.23156400000002,8.123568617030536,1.2159923315048218,0.1962881761883203,1000000.0
2.0,None,79.0,0,Soil,0.6277154746460176,55.0,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,33.0,Microbiological agent,6.375760588491369,Organic acid,0.0,0.0,8.917293892729774,2.0952942734506244,69.1447110238706,105.21074100000004,8.123568617030536,1.2001092433929443,0.15060563131628224,1000000.0
20.0,None,60.0,0,None,0.6277154746460176,52.05648399472635,None,Byproduct,Reactor,27.32884658064516,None,Swine manure,0.0,0,14.318403761762983,Lignite,5.0,MgSO₄,0.0,1.0,6.013557917467141,2.0952942734506244,30.001269406975855,107.18203900000002,8.123568617030536,1.114025354385376,0.18759891309669224,24.345481193052183
3.0,None,81.0,0,Soil,0.6277154746460176,58.0,None,Green waste,Trough,27.32884658064516,None,Swine manure,0.0,0,28.603453808486837,Inorganic acid,6.0,Mg(OH)₂,0.0,0.0,6.208676094183144,2.0952942734506244,59.93265296583192,107.28186200000002,8.405572758515747,1.1622986793518066,0.1585403926741843,18.82178133777186
6.0,None,76.0,0,Husk,0.6277154746460176,60.0,None,Green waste,Trough,27.32884658064516,None,Swine manure,0.0,0,23.38113632749573,Urea,5.0,Inorganic acid,0.0,0.0,7.026435469190974,2.0952942734506244,48.99036105377016,107.84567100000002,8.123568617030536,1.2235347032546997,0.1798036926778807,20.548131799150738
15.0,None,41.0,0,Woody peat,0.6277154746460176,63.0,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,19.095267339357516,Phosphogypsum,7.4726085379611025,Organic acid,0.0,1.0,8.926523207072,2.0952942734506244,40.01020430616454,105.34891599999999,8.123568617030536,1.1655399799346924,0.23821383382968456,28.595301416881853
5.0,None,127.0,0,Soil,0.6277154746460176,61.0,None,Mature compost,Windrow,27.32884658064516,None,Swine manure,0.0,0,21.94475049234096,MgCl₂,7.0,Biochar,0.0,1.0,9.93996592071394,2.0952942734506244,45.98071003890478,107.24146700000004,5.336427862832851,1.293527603149414,0.18265350389854204,19.352445010473954
