Aeration method,Material_2,M1_is Enclosed,Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final GI (%)
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,85.94
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,86.27
3,3,0,2,4,21.0,0.0,2,0.0,0,13,19.98,2.0,60.0,20,0.0,11,26.03,84.06
3,1,0,1,6,70.0,0.0,2,0.0,0,14,0.0,9.56,65.7,22,0.0,11,14.81,116.48
3,1,1,1,6,70.0,0.0,2,0.0,0,14,0.0,9.56,65.7,22,0.0,11,14.81,94.55
3,1,0,1,6,70.0,0.0,2,0.0,0,9,0.0,9.56,65.7,22,0.0,11,14.81,118.59
3,1,1,1,6,70.0,0.0,2,0.0,0,9,0.0,9.56,65.7,22,0.0,11,14.81,97.01
2,1,0,1,6,70.0,0.0,2,0.0,0,0,0.0,9.56,65.7,22,0.0,11,14.81,54.03
2,1,1,1,6,70.0,0.0,2,0.0,0,0,0.0,9.56,65.7,22,0.0,11,14.81,60.16
3,1,0,1,6,70.0,0.0,2,0.0,0,9,0.0,1.2,64.0,22,0.0,11,17.4,85.2
3,1,1,1,6,70.0,0.0,2,0.0,0,9,0.0,1.2,64.0,22,0.0,11,17.4,80.6
3,1,0,1,6,70.0,0.0,2,0.0,0,4,0.0,1.2,64.0,22,0.0,11,17.4,73.5
3,1,1,1,6,70.0,0.0,2,0.0,0,4,0.0,1.2,64.0,22,0.0,11,17.4,70.5
2,1,0,1,6,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,22,0.0,11,17.4,67.4
2,1,1,1,6,70.0,0.0,2,0.0,0,0,0.0,1.2,64.0,22,0.0,11,17.4,65.6
1,1,1,0,5,35.0,35.0,0,0.0,0,4,0.0,0.06,72.1,22,0.2,11,11.37,97.4
3,1,1,0,6,56.0,0.0,2,0.0,0,6,0.0,1.2,67.6,22,0.0,11,18.98,121.3
3,1,1,0,6,56.0,0.0,2,0.0,0,6,3.3,1.2,67.6,27,0.0,11,18.98,102.0
3,1,1,0,6,56.0,0.0,2,0.0,0,6,6.6,1.2,67.6,27,0.0,11,18.98,112.2
3,1,1,0,6,56.0,0.0,2,0.0,0,6,9.9,1.2,67.6,27,0.0,11,18.98,121.4
3,1,1,0,6,56.0,0.0,2,0.0,0,6,13.2,1.2,67.6,27,0.0,11,18.98,82.5
3,11,1,0,4,28.0,0.0,2,0.0,0,8,0.0,0.13,61.46,22,0.0,11,30.88,121.0
3,11,1,0,4,28.0,0.0,2,0.0,0,8,2.0,0.13,60.66,8,0.0,11,30.04,127.0
3,11,1,0,4,28.0,0.0,2,0.0,0,8,4.0,0.13,59.71,8,0.0,11,30.35,138.0
2,6,0,1,0,64.0,0.0,2,0.0,0,11,0.0,1.0,74.0,22,0.0,11,20.63,65.9
2,6,1,1,0,64.0,0.0,2,0.0,0,11,0.0,1.0,74.0,22,0.0,11,20.63,84.8
3,6,1,1,0,64.0,0.0,2,0.0,0,11,0.0,1.0,74.0,22,0.0,11,20.63,110.4
1,6,1,1,0,64.0,64.0,0,0.0,0,11,0.0,1.0,74.0,22,1.16,11,19.21,117.9
0,9,1,0,4,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,22,0.83,11,20.12,97.0
0,9,1,0,4,25.0,25.0,1,30.0,3,0,0.0,0.06,60.0,22,1.64,11,20.02,106.28
1,1,1,0,6,28.0,28.0,1,30.0,3,1,0.0,0.07,60.0,22,0.86,11,15.04,75.0
1,1,1,0,6,28.0,28.0,1,30.0,3,1,0.0,0.07,60.0,22,0.93,11,19.96,88.5
1,1,1,0,6,28.0,28.0,1,30.0,3,1,0.0,0.07,60.0,22,0.9,11,24.99,116.05
1,4,1,0,2,28.0,28.0,1,30.0,4,3,0.0,0.06,66.9,22,1.21,11,25.0,70.8
1,8,1,0,2,28.0,28.0,1,30.0,4,3,0.0,0.06,58.6,22,0.96,11,20.9,121.4
0,7,1,2,4,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,22,0.16,11,30.3,107.58
0,7,1,2,4,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,22,0.31,11,30.3,117.68
0,7,1,2,4,21.0,21.0,1,30.0,3,0,0.0,0.04,59.79,22,0.16,11,30.3,88.38
0,7,1,0,5,42.08,23.1,1,3.77,5,0,4.81,1.42,64.26,22,0.79,11,20.46,101.1
0,7,1,0,5,42.08,23.1,1,3.77,5,0,4.81,1.42,64.26,19,0.79,11,20.46,65.5
0,7,1,0,5,42.08,23.1,1,3.77,5,0,4.81,1.42,64.26,19,0.79,5,20.46,85.71
0,7,1,0,5,42.08,23.1,1,3.77,5,0,4.81,1.42,64.26,12,0.79,11,20.46,48.3
1,4,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,72.7,22,0.4,11,18.0,97.75
1,4,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,71.7,22,0.4,11,18.0,93.24
1,4,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,71.7,22,0.2,11,18.0,49.18
1,7,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,68.8,22,0.2,11,22.0,95.0
1,7,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,69.5,22,0.2,11,26.0,86.88
1,7,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,67.3,22,0.2,11,29.0,91.67
1,4,1,0,0,66.0,66.0,0,0.0,0,10,0.0,0.03,71.8,22,0.2,11,18.0,112.3
2,6,0,1,0,64.0,0.0,2,0.0,0,0,0.0,1.1,74.27,22,0.0,11,20.39,65.8
2,6,1,1,0,64.0,0.0,2,0.0,0,0,0.0,1.1,74.27,22,0.0,11,20.39,84.29
3,6,1,1,0,64.0,0.0,2,0.0,0,11,0.0,1.1,74.27,22,0.0,11,20.39,109.97
