Material_Main,M1_is Enclosed,Turning times, Composting Method,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),TC loss (%)
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.48,76.8,14.9,2.37,0,35.3,3,0.61559,33.8
8,1,9.25,0,37.0,0,37.0,0.0,0.0,8,0.06,0.72,74.0,18.0,2.09,0,37.6,3,0.55272,48.9
5,0,6.21429,2,87.0,0,0.0,0.0,0.0,5,0.144,0.0,67.6,20.0,2.80157,0,57.19383,3,0.50268,63.12
5,0,6.21429,2,87.0,0,0.0,0.0,0.0,5,0.144,0.0,68.46,25.0,2.521,0,60.809,3,0.45014,69.28
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,5,0.1559,0.45,66.03,21.96203,1.817,0,39.905,3,0.70071,52.90177
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,5,0.2984,0.448,65.69,21.51131,1.813,0,39.0,3,0.72895,55.63031
0,1,3.88889,0,35.0,0,35.0,0.0,0.0,5,0.5697,0.45,66.14,21.64477,1.796,0,38.874,3,0.75396,55.11272
8,0,7.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.43603,63.64
8,1,7.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.43603,63.16
8,0,14.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.45903,63.33
8,1,14.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.45903,62.73
8,0,0.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.47273,52.88
8,1,0.0,1,70.0,0,0.0,0.0,0.0,8,1.2,0.0,64.0,17.4,2.22,0,38.0,3,0.47273,51.81
6,1,7.0,0,35.0,0,35.0,0.0,0.0,8,0.06,0.2,72.1,11.37,2.68,0,30.45,3,0.667,50.26
8,1,8.0,0,56.0,0,0.0,0.0,0.0,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,3,0.475,66.0
8,1,8.0,0,56.0,0,0.0,0.0,3.3,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,22,0.475,59.5
8,1,8.0,0,56.0,0,0.0,0.0,6.6,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,22,0.475,60.5
8,1,8.0,0,56.0,0,0.0,0.0,9.9,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,22,0.475,55.3
8,1,8.0,0,56.0,0,0.0,0.0,13.2,8,1.2,0.0,67.6,18.98238,2.03974,0,38.71921,22,0.475,44.3
5,1,3.11111,0,28.0,0,0.0,0.0,0.0,8,0.13,0.0,61.4561,30.8801,1.667,0,51.47713,3,0.5,41.19
5,1,3.11111,0,28.0,0,0.0,0.0,2.0,8,0.13,0.0,60.661,30.0375,1.668,0,50.10255,8,0.5,38.64
5,1,3.11111,0,28.0,0,0.0,0.0,4.0,8,0.13,0.0,59.7109,30.3496,1.613,0,48.9539,8,0.5,31.45
5,1,3.11111,0,28.0,0,0.0,0.0,6.0,8,0.13,0.0,60.4548,30.568,1.562,0,47.74722,8,0.5,25.78
5,1,3.11111,0,28.0,0,0.0,0.0,8.0,8,0.13,0.0,60.0684,30.8801,1.563,0,48.2656,8,0.5,18.48
5,1,3.11111,0,28.0,0,0.0,0.0,10.0,8,0.13,0.0,59.4546,31.0362,1.555,0,48.26129,8,0.5,12.39
8,1,14.0,0,28.0,5,28.0,30.0,0.0,8,0.07122,0.8589,60.0,15.04166,2.6237,1,39.4648,3,0.22888,46.9
8,1,14.0,0,28.0,5,28.0,30.0,0.0,8,0.07122,0.92562,60.0,19.96354,1.99111,1,39.7496,3,0.21239,53.94
8,1,14.0,0,28.0,5,28.0,30.0,0.0,8,0.07122,0.90323,60.0,24.98683,1.60222,1,40.0344,3,0.21765,67.74
