Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
15.0,5,70.0,0,0.0,9,37.0,2.4,35.2,55,4,50.0
15.0,5,75.0,0,0.0,9,37.0,2.4,35.3,55,4,34.0
21.0,5,75.0,0,0.0,9,37.0,1.9,40.9,55,4,46.0
21.0,5,70.0,0,0.0,9,37.0,1.9,40.1,55,4,55.0
21.0,5,65.0,0,0.0,9,37.0,1.9,39.4,55,4,53.0
18.0,5,70.0,0,0.0,9,37.0,2.1,38.0,55,4,41.0
18.0,5,65.0,0,0.0,9,37.0,2.1,38.0,55,4,50.0
18.0,5,75.0,0,0.0,9,37.0,2.1,37.6,55,4,49.0
15.0,5,65.0,0,0.0,9,37.0,2.4,34.8,55,4,43.0
21.0,5,75.0,0,0.0,9,37.0,1.9,40.9,55,4,46.0
18.0,5,70.0,0,0.0,9,37.0,2.1,38.0,55,4,41.0
15.0,5,75.0,0,0.0,9,37.0,2.4,35.3,55,4,34.0
21.0,5,70.0,0,0.0,9,37.0,1.9,40.1,55,4,55.0
18.0,5,65.0,0,0.0,9,37.0,2.1,38.0,55,4,50.0
15.0,5,70.0,0,0.0,9,37.0,2.4,35.2,55,4,50.0
21.0,5,65.0,0,0.0,9,37.0,1.9,39.4,55,4,53.0
18.0,5,75.0,0,0.0,9,37.0,2.1,37.6,55,4,49.0
20.0,4,65.0,0,0.0,10,25.0,0.0,0.0,55,4,24.3
20.0,4,65.0,0,0.0,10,25.0,0.0,0.0,55,4,54.47
20.0,4,65.0,0,0.0,10,25.0,0.0,0.0,55,4,45.7
32.0,4,49.6,1,7.84,35,120.0,1.15,37.3,55,4,24.2
32.0,4,49.6,1,7.84,35,120.0,1.15,37.3,55,4,21.4
32.0,4,49.6,1,7.84,35,120.0,1.15,37.3,55,4,23.1
32.0,4,49.6,1,7.84,35,120.0,1.15,37.3,55,4,25.0
32.0,4,49.6,1,7.84,35,120.0,1.15,37.3,55,4,22.3
32.0,4,49.6,1,7.84,35,120.0,1.15,37.3,55,4,26.5
22.0,6,62.0,0,0.0,21,52.0,2.1,46.0,55,4,33.0
19.0,6,65.0,0,0.0,21,52.0,2.4,46.0,55,4,44.0
26.0,6,58.0,0,0.0,21,52.0,1.8,47.0,55,4,62.0
23.0,6,59.0,0,0.0,21,52.0,1.9,43.0,55,4,60.0
28.0,6,59.0,0,0.0,21,52.0,1.7,47.0,55,4,28.0
30.0,6,56.0,0,0.0,21,52.0,1.4,42.0,55,4,40.0
14.7,5,64.1,0,0.0,11,37.0,2.36,34.8,55,4,42.7
18.4,5,71.3,0,0.0,11,37.0,2.06,38.0,55,4,41.6
21.2,5,75.7,0,0.0,11,37.0,1.93,40.9,55,4,45.6
18.3,5,65.2,0,0.0,11,37.0,2.08,38.0,55,4,51.0
21.1,5,70.6,0,0.0,11,37.0,1.9,40.1,55,4,54.0
14.9,5,76.8,0,0.0,11,37.0,2.37,35.3,55,4,33.8
20.7,5,63.7,0,0.0,11,37.0,1.9,39.4,55,4,50.7
15.0,5,70.8,0,0.0,11,37.0,2.35,35.2,55,4,50.3
18.0,5,74.0,0,0.0,11,37.0,2.09,37.6,55,4,48.9
14.7,5,64.1,0,0.0,11,37.0,2.36,34.8,55,4,42.7
18.4,5,71.3,0,0.0,11,37.0,2.06,38.0,55,4,41.6
