Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
15.0,3,64.1,4,8.6,24,37.0,0.0,0.0,34,4,0.42641
18.0,3,65.2,4,8.5,24,37.0,0.0,0.0,34,4,0.955469
21.0,3,63.7,4,8.3,24,37.0,0.0,0.0,34,4,0.1148843
18.0,3,71.3,4,8.5,24,37.0,0.0,0.0,34,4,0.278718
21.0,3,70.6,4,8.3,24,37.0,0.0,0.0,34,4,0.8778
15.0,3,70.8,4,8.7,24,37.0,0.0,0.0,34,4,0.1574339
21.0,3,75.7,4,8.4,24,37.0,0.0,0.0,34,4,0.39533
15.0,3,76.8,4,8.6,24,37.0,0.0,0.0,34,4,0.656666
18.0,3,74.0,4,8.6,24,37.0,0.0,0.0,34,4,0.88871
21.0,1,65.0,4,7.1,24,28.0,0.0,0.0,34,4,0.142953
21.7,1,65.0,4,7.3,24,28.0,0.0,0.0,34,4,0.122483
22.8,1,65.0,4,7.4,24,28.0,0.0,0.0,34,4,0.634
20.5,3,65.0,4,7.2,24,28.0,0.0,0.0,34,4,0.334899
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,34,4,0.1135
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,34,4,0.67
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,34,4,0.263
16.6,7,69.831,4,0.0,3,30.0,0.0,0.0,34,4,0.597
27.12254902,4,64.90980517639383,4,7.88,24,70.0,0.0,0.0,34,4,0.92
30.83333333,6,55.0,4,7.02,24,12.0,0.0,0.0,34,4,0.64
30.83333333,6,55.0,4,7.02,24,12.0,0.0,0.0,34,4,0.27
12.72727273,1,58.0,4,5.95,24,12.0,0.0,0.0,34,4,0.56
12.72727273,1,58.0,4,5.95,24,12.0,0.0,0.0,34,4,0.49
29.0,3,69.4,4,8.8,19,56.0,0.0,0.0,34,4,1.13
24.7,3,71.1,4,9.1,19,56.0,0.0,0.0,33,4,1.06
17.6,3,71.2,4,8.8,19,56.0,0.0,0.0,33,4,1.02
