material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,N2O-N loss  (%)
3,3.024338865007541,85.84753433923079,66.7,7.7,-1.0,6,35,4,2.0
3,3.326664902311552,84.58778463692308,44.0,9.3,-1.0,6,35,4,2.0
3,3.446113200000003,90.14442071525971,65.8,7.8,-1.0,6,35,4,2.0
3,4.539022258760394,84.6690855534136,62.0,13.0,8.4,8,19,4,2.5
3,1.723644470000001,105.1669,62.0,7.0,8.4,8,19,4,9.9
3,2.2960425,33.81100755999998,68.0,-1.0,8.1,8,20,4,3.7199999999999998
3,1.863664520791133,43.41995530301623,68.0,-1.0,8.1,8,20,4,4.65
3,2.249207520000001,40.06216680974479,60.0,-1.0,7.71,0,20,4,2.02
3,2.7,47.45699800464038,65.8,18.28,7.17,8,20,4,6.529999999999999
3,3.149865037625853,106.16359556,67.30000000000001,24.03,7.94,8,20,1,5.62
3,1.944523285883562,39.50663167192575,63.800000000000004,11.0,8.6,8,19,4,1.9
3,1.234579036748745,117.11343387471,65.0,-1.0,6.79,8,20,4,0.1
3,1.902021781048769,36.24514044083529,-1.0,-1.0,7.8,0,35,4,0.003
1,1.821012685291958,32.67848354988401,72.7,17.1,6.1,10,5,4,3.3000000000000003
3,2.176354167339643,39.67536809703019,65.0,18.0,8.5,8,3,4,0.9228000000000001
3,1.830465374837413,32.43599354988401,65.0,18.0,6.6,8,12,4,0.349
3,1.595830248116084,41.1390937985522,65.0,18.0,8.6,8,20,4,0.6148
3,2.203700833333334,31.27396475999998,65.4,14.2,9.1,0,29,4,0.74
3,2.203700833333334,31.30513475999998,65.4,14.2,9.1,0,29,4,0.83
3,1.085684670745272,40.4915174013921,65.4,14.2,9.1,0,29,4,0.9299999999999999
3,1.083233057842046,39.61840035854058,45.0,33.85,7.75,8,3,4,0.00068
3,1.100367369292619,41.05066600928073,55.00000000000001,33.85,7.75,8,3,4,0.0007559999999999999
