Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial C/N (%),Initial TN (%),V1_Ventilation Type,Initial TC (%),Additive_1,Initial density (kg/L),N2O-N loss (%)
8,2,1,56.0,0,56.0,0.0,0,2.06897,4,1.37,0.108,71.0,21.2,2.31034,0,48.62069,28,0.305,0.77
8,2,1,56.0,0,56.0,0.0,0,0.0,5,1.37,0.108,70.3,19.6,2.22222,0,44.10774,24,0.305,1.2
8,2,1,56.0,0,56.0,0.0,0,2.83688,4,1.18,0.108,71.8,19.5,2.30496,0,45.03546,28,0.305,1.03
0,1,0,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,4,0.15591,0.11274
0,1,1,64.0,0,0.0,0.0,0,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,4,0.15591,0.11492
0,1,1,64.0,0,0.0,0.0,11,0.0,5,1.1,0.0,74.27405,23.07538,2.04892,0,45.63272,4,0.15591,0.06709
0,1,1,44.44706,9,22.85922,3.69595,11,4.90157,5,1.22038,0.66439,64.03324,21.34763,2.07399,1,39.62259,4,0.47538,0.06553
6,0,1,30.0,8,30.0,10.0,4,0.0,5,0.1,0.00833,60.0,41.11596,0.77987,1,32.0651,4,0.5,0.024
6,0,1,30.0,8,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,38.25338,0.78831,1,30.1556,7,0.5,0.016
6,0,1,30.0,8,30.0,10.0,4,10.0,5,0.1,0.00833,60.0,42.9974,0.77338,1,33.2532,4,0.5,0.006
0,0,1,20.0,0,20.0,0.0,0,0.0,5,0.06,0.21,60.22,29.35,1.45,0,42.38,4,0.66843,0.4004
0,0,1,20.0,2,20.0,10.0,0,0.0,5,0.06,0.42,60.22,29.35,1.45,1,42.38,4,0.66843,0.534
0,0,1,20.0,3,20.0,5.0,0,0.0,5,0.06,0.84,60.22,29.35,1.45,1,42.38,4,0.66843,0.6341
