Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Final GI (%)
8,0,1,70.0,0,70.0,0.0,4,0.0,5,1.2096,0.54,63.6,93.0937
8,0,1,43.4613,4,23.19054,3.90898,4,4.45139,5,1.00714,0.74405,63.94368,106.624
8,0,1,30.0,1,30.0,25.0,4,0.0,5,0.06,0.48,65.9,100.7
8,0,1,30.0,1,30.0,25.0,4,10.0,5,0.06,0.48,65.44582,105.9
8,0,1,30.0,1,30.0,25.0,4,10.2,5,0.06,0.48,65.44582,112.4
8,0,1,30.0,1,30.0,25.0,4,5.2,5,0.06,0.48,62.90682,107.9
5,0,1,25.0,5,25.0,30.0,2,0.0,5,0.06,0.82645,65.0,97.0787
5,0,1,25.0,5,25.0,30.0,2,0.0,5,0.06,1.64384,65.0,105.583
5,2,0,83.0,0,0.0,0.0,15,0.0,3,2.0,0.0,72.4,46.0
8,1,0,54.0,0,0.0,0.0,7,0.0,5,0.13,0.0,67.214,84.196
8,1,0,54.0,0,0.0,0.0,7,15.0,5,0.13,0.0,61.36171,91.2548
8,1,0,54.0,0,0.0,0.0,7,15.0,5,0.13,0.0,61.36171,76.2968
8,1,0,54.0,0,0.0,0.0,7,0.0,5,0.13,0.0,67.214,111.975
8,1,0,54.0,0,0.0,0.0,7,6.0,5,0.13,0.0,61.88,83.6134
8,1,0,54.0,0,0.0,0.0,7,6.0,5,0.13,0.0,61.88,86.7647
0,0,1,43.4613,0,23.19054,3.90898,0,4.45139,5,1.00714,0.74405,63.94368,112.09
0,0,1,21.0,0,21.0,0.0,0,0.0,0,0.007,3.40873,61.474,105.78
0,0,1,21.0,0,21.0,0.0,0,0.0,0,0.007,3.40873,61.474,117.35
0,0,1,21.0,0,21.0,0.0,0,0.0,0,0.007,3.40873,61.474,119.45
6,0,1,45.0,12,45.0,20.0,9,0.0,5,0.12,0.95053,65.0,92.0
6,0,1,45.0,12,45.0,20.0,9,5.0,5,0.12,0.93677,65.0,114.0
