Material_Main, Composting Method,M1_is Enclosed,Period (d),V2_Ventilation Interval (min),V4_Ventilation Day,V3_Ventilation Duration (min),Turning times,Application Rate (%DW),Material_2,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),TC loss (%)
5,0,1,31.0,0,31.0,0.0,0,0.0,8,0.01,0.23,71.0,24.0
5,0,1,43.4613,0,23.19054,3.90898,0,4.45139,8,1.00714,0.74405,63.94368,28.0
5,0,1,43.4613,0,23.19054,3.90898,0,4.45139,8,1.00714,0.74405,63.94368,33.0
8,0,1,30.0,1,30.0,25.0,3,0.0,8,0.06,0.48,65.9,58.4
8,0,1,30.0,1,30.0,25.0,3,10.0,8,0.06,0.48,65.44582,56.6
8,0,1,30.0,1,30.0,25.0,3,10.2,8,0.06,0.48,65.44582,56.3
8,0,1,30.0,1,30.0,25.0,3,5.2,8,0.06,0.48,62.90682,58.0
5,0,1,25.0,5,25.0,30.0,2,0.0,8,0.06,0.08242,65.0,24.3
5,0,1,25.0,5,25.0,30.0,2,0.0,8,0.06,0.82645,65.0,54.47
5,0,1,25.0,5,25.0,30.0,2,0.0,8,0.06,1.64384,65.0,45.7
8,1,0,54.0,0,0.0,0.0,6,0.0,8,0.13,0.0,67.214,58.0
8,1,0,54.0,0,0.0,0.0,6,15.0,8,0.13,0.0,61.36171,54.2
8,1,0,54.0,0,0.0,0.0,6,15.0,8,0.13,0.0,61.36171,53.8
8,1,0,54.0,0,0.0,0.0,6,0.0,8,0.13,0.0,67.214,55.4
8,1,0,54.0,0,0.0,0.0,6,6.0,8,0.13,0.0,61.88,52.1
8,1,0,54.0,0,0.0,0.0,6,6.0,8,0.13,0.0,61.88,51.8
6,0,1,45.0,7,45.0,20.0,8,0.0,8,0.12,0.95053,65.0,16.32
6,0,1,45.0,7,45.0,20.0,8,5.0,8,0.12,0.93677,65.0,17.17
6,0,1,45.0,7,45.0,20.0,8,1.0,8,0.12,0.95053,65.0,18.95
6,0,1,45.0,7,45.0,20.0,8,1.0,8,0.12,0.95053,65.0,15.14
6,0,1,45.0,7,45.0,20.0,8,3.0,8,0.12,0.92712,65.0,16.54
6,0,1,45.0,7,45.0,20.0,8,3.0,8,0.12,0.92712,65.0,17.15
6,0,1,45.0,7,45.0,20.0,8,5.0,8,0.12,0.93677,65.0,22.42
6,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.1,72.86,49.9
6,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.2,72.86,47.7
6,0,1,35.0,0,35.0,0.0,4,0.0,8,0.06,0.3,72.86,43.8
