Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,Compost volume (m3),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Application Rate (%DW),Initial TN (%),Initial pH,Initial Moisture Content (%),Initial C/N (%),N2O-N loss (%)
8,0.0,0.0,1.0,0,1,11,27,4,13,4,50.0,0.0,50.0,0.03,0.0,0.20526,0.0,2.93,7.56,69.74,13.27,0.04235
8,0.0,0.0,1.0,0,1,11,27,4,4,4,50.0,0.0,50.0,0.03,0.0,0.21455,0.0,3.48,8.08,71.05,13.56,0.0336
10,14.0,30.0,1.0,0,1,11,27,4,13,4,28.0,1.0,28.0,0.07122,30.0,0.8589,0.0,2.6237,7.97788,60.0,15.04166,0.136
10,14.0,30.0,1.0,0,1,11,27,4,13,4,28.0,1.0,28.0,0.07122,30.0,0.92562,0.0,1.99111,7.68268,60.0,19.96354,0.214
10,14.0,30.0,1.0,0,1,11,27,4,13,4,28.0,1.0,28.0,0.07122,30.0,0.90323,0.0,1.60222,7.44525,60.0,24.98683,0.279
10,14.0,30.0,1.0,0,1,11,27,4,13,4,28.0,1.0,28.0,0.07122,30.0,0.90909,0.0,1.32741,7.08909,60.0,30.22585,0.315
2,7.0,60.0,1.0,0,1,11,27,4,5,4,28.0,1.0,28.0,0.06,30.0,1.20727,0.0,1.5,5.75,66.9,25.0,1.68
2,7.0,60.0,1.0,0,1,11,27,4,0,4,28.0,1.0,28.0,0.06,30.0,0.96434,0.0,1.7,5.36,58.6,20.9,0.69
2,7.0,60.0,1.0,0,1,11,27,4,0,4,28.0,1.0,28.0,0.06,30.0,0.85547,0.0,1.9,5.13,53.1,18.7,1.34
2,7.0,60.0,1.0,0,1,11,27,4,0,4,28.0,1.0,28.0,0.06,30.0,0.76023,0.0,2.0,5.04,47.5,16.8,2.36
0,5.73722,0.0,0.0,2,1,11,27,4,5,4,50.06058,2.0,26.24606,0.53245,4.21992,0.42777,3.82654,2.11619,7.58786,65.98694,19.55821,0.9
