Material_Main,Turning times,V2_Ventilation Interval (min),M1_is Enclosed, Composting Method,Additive_4,Additive_2,Additive_1,Material_3,Material_2,Additive_3,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Initial Moisture Content (%),Initial TN (%),Initial C/N (%),Initial pH,NH3-N loss (%)
8,5.66667,0.0,1.0,0,1,11,27,4,13,4,34.0,0.0,34.0,0.0,0.0,0.06,0.27211,65.0,2.52174,11.37,7.10852,31.52
8,5.66667,0.0,1.0,0,1,11,4,4,13,4,34.0,0.0,34.0,0.0,10.0,0.06,0.26291,65.0,2.19286,11.37,7.8306,21.26
8,5.66667,0.0,1.0,0,1,3,4,4,13,4,34.0,0.0,34.0,0.0,10.28571,0.06,0.26265,65.0,2.19286,11.37,7.8306,16.22
8,5.66667,0.0,1.0,0,1,3,4,4,13,4,34.0,0.0,34.0,0.0,14.57143,0.06,0.2589,65.0,2.28217,11.37,7.64407,14.88
10,5.83333,0.0,1.0,0,1,11,27,4,13,4,35.0,0.0,35.0,0.0,0.0,0.06,0.25,69.2,2.03653,18.43351,8.2,32.5
10,5.83333,0.0,1.0,0,1,8,13,4,13,4,35.0,0.0,35.0,0.0,2.624,0.06,0.25,68.036,2.03653,18.43351,8.0,14.5
10,5.83333,0.0,1.0,0,1,11,4,4,13,4,35.0,0.0,35.0,0.0,4.0,0.06,0.25,66.34009,2.03653,18.43351,7.25,20.3
10,5.83333,0.0,1.0,0,1,11,13,4,13,4,35.0,0.0,35.0,0.0,4.13091,0.06,0.25,65.50009,2.03653,18.43351,6.75,12.4
7,5.55556,0.0,1.0,0,1,11,27,4,13,4,50.0,0.0,15.3,12.0,0.0,0.1,0.40262,60.0,1.90778,31.0074,6.53,36.3
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,16.0,0.0,2.0,0.1,0.40262,60.0,1.84077,30.0553,6.85,33.2
7,5.55556,0.0,1.0,0,1,11,8,4,13,4,50.0,0.0,9.3,0.0,4.0,0.1,0.35462,60.0,1.72135,30.3317,6.46,26.6
