Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.0,4.0,5.0,70.0,1.0,0.0,27.32884658064516,0.0,1.0,6.0,0.0,19.0,1.0,5,0.0,0.0,2.0,4.055822834652183,0.314,7.0,36.0,42.0,1.4280600332415827,42.53422207892576,111.61221399999998,6.5675080327819595,0.6602253317832947,0.21870839312537727,1000000.0
7.0,4.0,9.0,69.0,1.0,12.0,27.32884658064516,0.0,1.0,6.0,0.0,7.0,0.0,5,0.0,0.0,2.0,2.9559757249444827,0.314,6.0,34.0,76.0,1.4280600332415827,22.07629555255522,109.14072300000004,6.5675080327819595,0.5927477478981018,0.18088410171609967,1000000.0
3.0,4.0,0.0,79.22382695201675,1.0,25.0,27.32884658064516,0.0,1.0,14.0,0.0,35.0,1.0,5,0.0,0.0,2.0,4.6084096213758965,0.314,5.0,33.39285915547952,35.0,1.4280600332415827,24.100127292432873,109.11392000000004,6.642142840338956,0.6595237851142883,0.21715112849732723,1000000.0
6.0,4.0,2.0,73.21559027032197,1.0,11.0,27.32884658064516,0.0,1.0,4.0,0.0,6.0,1.0,5,25.0,0.787537361443498,0.0,3.302118503758759,0.314,4.426409853713809,39.0,47.0,1.4280600332415827,12.494988735702846,108.91544400000004,6.714319022498207,0.5870854258537292,0.21231082432698756,1000000.0
11.0,4.0,2.0,66.0,1.0,28.0,27.32884658064516,0.0,0.0,14.0,0.0,10.0,1.0,5,0.0,0.0,2.0,3.7537262038136734,0.314,5.0,34.0,83.0,1.4280600332415827,43.994044121974596,107.93101700000001,6.565161149340946,0.6020774245262146,0.20299691596287472,1000000.0
0.0,4.0,4.0,72.75804442040115,1.0,17.0,27.32884658064516,0.0,2.0,0.0,0.0,34.0,1.0,5,0.0,0.0,2.0,4.515405141775549,0.314,7.0,35.0,125.0,1.4280600332415827,43.4473813355443,106.98714899999999,6.683555807408292,0.5727661848068237,0.1755218362876299,1000000.0
7.0,4.0,5.0,62.0,1.0,21.0,27.32884658064516,865.0,1.0,2.0,24.66071305273595,24.0,1.0,5,5.0,1.0612776511905075,1.0,3.7874897433714825,0.314,6.0,41.313787588174804,123.0,1.4280600332415827,58.9985688765046,107.49718699999998,9.953013629595242,0.7613864541053772,0.16812856020283645,20.247379005402344
8.0,4.0,2.0,69.0,1.0,1.0,27.32884658064516,0.0,2.0,14.0,0.0,21.0,1.0,5,0.0,0.0,2.0,4.75392060062465,0.314,5.0,40.0,127.0,1.4280600332415827,27.92627393470758,108.245295,6.565161149340946,0.597338080406189,0.1979964031445716,1000000.0
15.0,4.0,2.0,60.0,1.0,21.0,27.32884658064516,0.0,2.0,2.0,0.0,10.0,1.0,5,0.0,0.0,2.0,2.0720382903239063,0.314,9.267211343936943,38.0,44.0,1.4280600332415827,26.372301976690945,105.22199199999999,6.565161149340946,0.31973913311958313,0.18110145681187104,1000000.0
7.0,4.0,2.0,60.0,1.0,26.0,27.32884658064516,0.0,1.0,6.0,0.0,18.0,0.0,5,0.0,0.0,2.0,2.273588350388362,0.314,7.0,39.0,40.0,1.4280600332415827,43.59010030886489,110.27824800000003,6.5675080327819595,0.5781447291374207,0.18870110183014543,1000000.0
13.0,4.0,3.0,71.82442993107887,1.0,0.0,27.32884658064516,0.0,2.0,13.0,0.0,21.0,1.0,5,0.0,0.0,2.0,3.5151027115822653,0.314,8.0,34.0,86.0,1.4280600332415827,29.99306659377213,106.49409699999997,6.565161149340946,0.6020774245262146,0.18594177160995676,1000000.0
8.0,4.0,4.0,78.41274860423042,1.0,27.0,27.328846580645163,0.0,0.0,6.0,0.0,35.0,1.0,5,0.0,0.0,2.0,2.2114886432397736,0.314,9.944865264718835,32.0,21.0,1.4280600332415827,47.554705966559496,105.33943799999999,6.844088507195567,0.5844044089317322,0.20343766930735918,1000000.0
7.0,4.0,3.0,83.6305146453332,1.0,11.0,27.32884658064516,0.0,0.0,13.0,0.0,31.0,1.0,5,0.0,0.0,2.0,4.146158770744665,0.314,11.335554832003208,39.0,61.0,1.4280600332415827,53.848444836804326,107.113071,6.5675080327819595,0.5880168080329895,0.19870464401719312,1000000.0
